unique_id,cutoff,metric,ARIMA
4,2012-07-20,mae,68976.98252738395
7,2012-07-20,mae,47957.03372455222
14,2012-07-20,mae,71775.08423130917
16,2012-07-20,mae,24529.767701882487
18,2012-07-20,mae,61403.85630094228
30,2012-07-20,mae,8381.075259248726
33,2012-07-20,mae,6604.097714109182
36,2012-07-20,mae,6867.422515588725
38,2012-07-20,mae,17757.982093422816
42,2012-07-20,mae,22097.48369713584
44,2012-07-20,mae,8834.990043839329
4,2012-07-27,mae,59917.1125617699
7,2012-07-27,mae,51107.62407448405
14,2012-07-27,mae,73147.99415937233
16,2012-07-27,mae,29211.744018839338
18,2012-07-27,mae,51895.099200077704
30,2012-07-27,mae,9456.765837922843
33,2012-07-27,mae,6732.157534528259
36,2012-07-27,mae,7687.942331429343
38,2012-07-27,mae,19590.56588975056
42,2012-07-27,mae,20896.3082866835
44,2012-07-27,mae,6611.733095728031
4,2012-08-03,mae,61327.474913984806
7,2012-08-03,mae,59835.96893223134
14,2012-08-03,mae,66658.50181058857
16,2012-08-03,mae,27732.93513483978
18,2012-08-03,mae,54223.34964344625
30,2012-08-03,mae,11604.492257890219
33,2012-08-03,mae,6957.7056904269875
36,2012-08-03,mae,6972.026907329792
38,2012-08-03,mae,22345.715603681892
42,2012-08-03,mae,16776.068364403083
44,2012-08-03,mae,7780.616307892895
4,2012-07-20,rmse,81721.32536420813
7,2012-07-20,rmse,56793.914858070864
14,2012-07-20,rmse,104013.68595348753
16,2012-07-20,rmse,29286.84641124581
18,2012-07-20,rmse,76981.1063788533
30,2012-07-20,rmse,10139.243257497648
33,2012-07-20,rmse,7988.761220751138
36,2012-07-20,rmse,8905.18090469346
38,2012-07-20,rmse,20591.784912326024
42,2012-07-20,rmse,28423.52839480566
44,2012-07-20,rmse,10600.026742557822
4,2012-07-27,rmse,68713.02431296374
7,2012-07-27,rmse,61766.45318843107
14,2012-07-27,rmse,107816.83376790986
16,2012-07-27,rmse,33770.49689858681
18,2012-07-27,rmse,65604.86374534009
30,2012-07-27,rmse,11398.74856619955
33,2012-07-27,rmse,8358.252190151608
36,2012-07-27,rmse,9490.713816708223
38,2012-07-27,rmse,22244.782066024727
42,2012-07-27,rmse,28330.92928430773
44,2012-07-27,rmse,8544.642364555531
4,2012-08-03,rmse,71406.94775210695
7,2012-08-03,rmse,70143.70052113984
14,2012-08-03,rmse,99326.9460427373
16,2012-08-03,rmse,33582.48991189152
18,2012-08-03,rmse,67145.40217099956
30,2012-08-03,rmse,13341.251957833303
33,2012-08-03,rmse,8364.29816755316
36,2012-08-03,rmse,7887.4920230649
38,2012-08-03,rmse,25946.700431731417
42,2012-08-03,rmse,24060.736432466172
44,2012-08-03,rmse,9825.786788052113
